7zip 26.02-1
a52dec 0.8.0-3
aalib 1.4rc5-19
abseil-cpp 20260817.0-1
accountsservice 26.27.3-1
acl 2.4.0-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.6.8-1
alsa-firmware 1.2.4-4
alsa-lib 1.2.16.1-1
alsa-plugins 1:1.2.12-6
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
alsa-utils 1.2.16-1
android-tools 37.0.0-4
aom 3.15.0-1
appstream 1.2.0-1
arc-gtk-theme-eos 20221218-2
archlinux-keyring 20260727-1
argagg 0.4.7-3
argon2 20190702-6
aria2 1.37.0-3
aspell 0.60.8.2-2
at-spi2-core 2.60.6-1
attr 2.6.0-1
audit 4.2.1-1
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc5-1
ayatana-ido 0.10.4-1
b43-fwcutter 020-1
base 3-3
base-devel 1-2
bash 5.3.15-1
bash-completion 2.18.0-1
bind 9.20.27-1
binutils 2.47-4
bison 3.8.2-8
blueman 2.4.6-2
bluez 5.87-2
bluez-libs 5.87-2
bluez-utils 5.87-2
boost 1.92.0-1
boost-libs 1.92.0-1
breeze-icons 6.29.0-1
brltty 6.9.1-3
brotli 1.2.0-1
btrfs-progs 7.1-1
bubblewrap 0.12.0-1
bzip2 1.0.8-6
c-ares 1.34.8-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.128-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm-1.16 1.18.1-1
cantarell-fonts 1:0.311-1
ccache 4.13.6-1
cdparanoia 10.2-10
cfitsio 1:4.7.0-1
chromaprint 1.6.1-2
chrono-date 3.0.5-1
cifs-utils 7.5-1
clang 22.1.8-1
clucene 2.3.3.4-17
cmake 4.4.3-1
colord 1.4.8-1
compiler-rt 22.1.8-1
composefs 1.0.8-1
containerd 2.3.4-1
copyq 16.0.0-1
coreutils 9.11-2
cpio 2.15-3
cppdap 1.58.0-3
cpupower 7.2.2-1
cryptsetup 2.8.7-1
curl 8.21.0-1
dav1d 1.5.4-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-glib 0.114-1
dbus-units 37-3
dconf 0.49.0-1
debugedit 5.3-2
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.42-1
dex 0.10.1-1
dfu-util 0.11-3
dialog 1:1.3_20260721-1
diffutils 3.12-2
ding-libs 0.7.0-1
discount 3.0.2.0-1
djvulibre 3.5.30.1-1
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15
