accountsservice 26.27.3-1
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-6
alsa-utils 1.2.16-1
android-tools 37.0.0-4
arc-gtk-theme-eos 20221218-2
aria2 1.37.0-3
aspell 0.60.8.2-2
b43-fwcutter 020-1
base 3-3
base-devel 1-2
bash-completion 2.18.0-1
bind 9.20.27-1
blueman 2.4.6-2
bluez 5.87-2
bluez-utils 5.87-2
btrfs-progs 7.1-1
cantarell-fonts 1:0.311-1
ccache 4.13.6-1
copyq 16.0.0-1
cpupower 7.2.2-1
cryptsetup 2.8.7-1
device-mapper 2.03.42-1
dfu-util 0.11-3
dialog 1:1.3_20260721-1
diffutils 3.12-2
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.93-1
docker 1:29.7.2-1
docker-compose 5.5.0-1
dosfstools 4.2-5
downgrade 12.0.2-1
dracut 112_eos-1
duf 0.9.1-1
e2fsprogs 1.47.4-1
efibootmgr 18-4
efitools 1.9.2-7
endeavouros-branding 26.03.1.1-1
endeavouros-keyring 20231222-1
endeavouros-mirrorlist 26.8-1
endeavouros-xfce4-terminal-colors 6-1
eos-apps-info 26.6-1
eos-dracut 1.7-1
eos-hooks 1.16.2-1
eos-hwtool 1.9-1
eos-lightdm-slick-theme 3.4-1
eos-log-tool 26-1
eos-packagelist 2.3.1-2
eos-qogir-icons 2025.02.15-3
eos-quickstart 1.4.1-1
eos-rankmirrors 26.8-1
eos-settings-xfce4 3.4-1
erlang 29.0.1-1
ethtool 1:7.1-1
ex-vi-compat 3-1
exfatprogs 1.4.3-1
exo 4.20.0-2
f2fs-tools 1.16.0-3
fcitx5 5.1.21-1
fcitx5-configtool 5.1.14-1
fcitx5-gtk 5.1.7-1
fcitx5-qt 5.1.14-2
fcitx5-unikey 5.1.11-1
file-roller 44.7-1
firefox 154.0.1-1
firewall-applet 2.5.1-2
firewalld 2.5.1-2
flatpak 1:1.18.2-1
galculator 2.1.4-12
garcon 4.20.0-2
gedit 50.0-3
git 2.55.0-1
github-cli 2.98.0-1
glances 4.5.6-1
gleam 1.18.1-1
gnome-keyring 1:50.0-1
google-chrome 152.0.7977.82-1
gperf 3.3-2
grub 2:2.14-1
gst-libav 1.28.6-3
gst-plugin-pipewire 1:1.6.8-1
gst-plugin-va 1.28.6-3
gst-plugins-bad 1.28.6-3
gst-plugins-ugly 1.28.6-3
gvfs 1.60.2-4
gvfs-afc 1.60.2-4
gvfs-gphoto2 1.60.2-4
gvfs-mtp 1.60.2-4
gvfs-nfs 1.60.2-4
gvfs-smb 1.60.2-4
haveged 1.9.26-1
hdparm 9.65-3
helix 25.07.1-2
htop 3.5.3-1
hwdetect 2025.08.16.1333-1
hwinfo 25.5-1
inetutils 2.8-1
intel-media-driver 26.2.4-1
intel-ucode 20260812-1
inxi 3.3.41.1-1
iptables 1:1.8.13-1
iwd 3.12-1
jfsutils 1.1.15-9
jq 1.8.2-1
kdeconnect 26.08.0-1
kicad-library-3d 10.0.6-1
less 1:704-1
libdvdcss 1.6.0-1
libgsf 1.14.58-1
libopenraw 0.3.7-2
libreoffice-fresh 26.8.0-2
libva-intel-driver 2.4.5-1
lightdm 1:1.33.1-1
lightdm-slick-greeter 2.2.7-1
linux 7.1.11.arch1-1
linux-firmware 20260810-2
linux-headers 7.1.11.arch1-1
linux-lts 6.18.48-1
linux-lts-headers 6.18.48-1
lldb 22.1.8-1
logrotate 3.22.0-1
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.7-1
lsscsi 0.32-2
lvm2 2.03.42-1
man-db 2.13.1-2
man-pages 6.19-1
mdadm 4.6-2
meld 3.24.0-2
mesa-utils 9.0.0-7
modemmanager 1.24.2-1
mousepad 0.7.0-1
mtools 1:4.0.49-1
nano 9.2-1
nano-syntax-highlighting 2025.07.01.r0.g256995b-2
neovim 0.12.5-1
netctl 1.29-2
network-manager-applet 1.36.0-2
networkmanager 1.58.1-1
networkmanager-openconnect 1.2.10-4
networkmanager-openvpn 1.12.5-1
nfs-utils 2.9.2-1
nilfs-utils 2.3.1-1
noto-fonts 1:2026.08.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2026.08.01-1
nss-mdns 0.15.1-2
ntfs-3g 2026.7.7-1
ntp 4.2.8.p18-6
obsidian 1.13.7-2
okular 26.08.0-2
openssh 10.5p1-1
os-prober 1.84-1
pacman-contrib 1.13.1-1
parole 4.20.0-1
pavucontrol 1:6.2-1
perl 5.42.2-2
pipewire-alsa 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
pkgfile 26-1
plocate 1.1.24-2
poppler-glib 26.08.0-1
postgresql 18.6-1
power-profiles-daemon 0.30-1
python 3.14.7-1
python-defusedxml 0.7.1-8
python-jinja 1:3.1.6-3
python-packaging 26.3-1
python-pip 26.2.1-1
python-pipx 1.15.0-1
python-virtualenv 21.7.7-1
rebar3 3.27.0-2
rebuild-detector 4.4.5-1
reflector 2023-5
reflector-simple 2026.8-1
resvg 0.48.1-1
ristretto 0.14.0-1
rsync 3.5.0-1
rtkit 0.14-1
s-nail 14.9.25-1
scrcpy 4.1-2
sg3_utils 1.49-1
smartmontools 7.5-1
sof-firmware 2025.12.2-1
speedtest-cli 2.1.3-10
strace 7.0-1
sudo 1.9.17.p2-6
sysfsutils 2.1.1-2
systemd-sysvcompat 261.2-1
texinfo 7.3-1
thefuck 3.32-13
thunar 4.20.9-1
thunar-archive-plugin 0.6.0-1
thunar-media-tags-plugin 0.6.0-1
thunar-volman 4.20.0-2
tldr 3.4.4-1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-liberation 2.1.5-2
ttf-opensans 3.003-1
tumbler 4.20.2-1
unrar 1:7.2.7-1
unzip 6.0-23
upower 1.91.3-1
usb_modeswitch 2.6.2.20251207-1
usbutils 019-1
vulkan-intel 1:26.2.1-1
welcome 26.8-1
wezterm-git 20240203.110809.r879.g6f8b1d4-1
wget 1.25.0-6
which 2.25-1
whois 5.6.6-1
wireless-regdb 2026.05.30-1
wireplumber 0.5.15-1
xclip 0.13-6
xdg-user-dirs 0.20-1
xdg-user-dirs-gtk 0.16-1
xdg-utils 1.2.1-2
xf86-input-libinput 1.5.0-1
xfce4-appfinder 4.20.0-2
xfce4-battery-plugin 1.2.0-1
xfce4-mount-plugin 1.2.0-1
xfce4-netload-plugin 1.5.0-1
xfce4-notifyd 0.9.7-2
xfce4-panel 4.20.8-1
xfce4-power-manager 4.20.1-1
xfce4-pulseaudio-plugin 0.5.1-1
xfce4-screensaver 4.20.2-1
xfce4-screenshooter 1.11.3-3
xfce4-session 4.20.4-1
xfce4-settings 4.20.5-1
xfce4-taskmanager 1.6.0-1
xfce4-terminal 1.2.0-1
xfce4-wavelan-plugin 0.7.0-2
xfce4-weather-plugin 0.12.0-2
xfce4-whiskermenu-plugin 2.10.1-2
xfce4-xkb-plugin 0.9.0-1
xfconf 4.20.0-2
xfdesktop 4.20.2-1
xfsprogs 7.1.1-1
xfwm4 4.20.0-2
xl2tpd 1.3.20-1
xorg-server 21.1.24-1
xorg-xdpyinfo 1.4.0-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkill 1.0.7-1
xorg-xrandr 1.5.4-1
xterm 410-1
yay 13.0.1-1
yazi 26.8.15-1
zoxide 0.10.0-1
zsh 5.9.2-1
